Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year
2020-03-04,IRCTC,1752.0,1765.0,1565.4,1565.4,0.742,-10.651,-10.651,10.651,0.742,0.742,4,3,2020
2020-03-04,IRCTC,1752.0,1765.0,1565.4,1565.4,0.742,-10.651,-10.651,10.651,0.742,0.742,4,3,2020
2020-03-05,IRCTC,1507.0,1524.95,1411.1,1430.85,1.191,-6.364,-5.053,6.364,1.191,1.191,5,3,2020
2020-03-06,IRCTC,1359.35,1359.35,1359.35,1359.35,0.0,0.0,0.0,0.0,0.0,0.0,6,3,2020
2020-03-09,IRCTC,1291.4,1291.4,1291.4,1291.4,0.0,0.0,0.0,0.0,0.0,0.0,9,3,2020
2020-03-11,IRCTC,1226.85,1355.95,1226.85,1285.35,10.523,0.0,4.768,10.523,0.0,0.0,11,3,2020
2020-03-12,IRCTC,1221.1,1221.1,1221.1,1221.1,0.0,0.0,0.0,0.0,0.0,0.0,12,3,2020
2020-03-13,IRCTC,1160.05,1268.8,1160.05,1227.75,9.375,0.0,5.836,9.375,0.0,0.0,13,3,2020
2020-03-16,IRCTC,1181.1,1198.0,1166.4,1166.4,1.431,-1.245,-1.245,1.431,1.245,1.245,16,3,2020
2020-03-17,IRCTC,1152.0,1178.8,1108.1,1108.1,2.326,-3.811,-3.811,3.811,2.326,2.326,17,3,2020
2020-03-18,IRCTC,1076.6,1087.95,1052.7,1052.7,1.054,-2.22,-2.22,2.22,1.054,1.054,18,3,2020
2020-03-19,IRCTC,1000.1,1033.0,1000.1,1000.1,3.29,0.0,0.0,3.29,0.0,0.0,19,3,2020
2020-03-20,IRCTC,970.25,1005.0,950.1,951.0,3.582,-2.077,-1.984,3.582,2.077,2.077,20,3,2020
2020-03-23,IRCTC,903.45,903.45,903.45,903.45,0.0,0.0,0.0,0.0,0.0,0.0,23,3,2020
2020-03-24,IRCTC,861.0,877.95,858.3,858.3,1.969,-0.314,-0.314,1.969,0.314,0.314,24,3,2020
2020-03-25,IRCTC,820.25,825.0,815.4,815.4,0.579,-0.591,-0.591,0.591,0.579,0.579,25,3,2020
2020-03-26,IRCTC,774.65,856.15,774.65,856.15,10.521,0.0,10.521,10.521,0.0,0.0,26,3,2020
2020-03-27,IRCTC,898.95,898.95,898.95,898.95,0.0,0.0,0.0,0.0,0.0,0.0,27,3,2020
2020-03-30,IRCTC,889.9,943.85,858.15,935.8,6.062,-3.568,5.158,6.062,3.568,3.568,30,3,2020
2020-03-31,IRCTC,982.55,982.55,982.55,982.55,0.0,0.0,0.0,0.0,0.0,0.0,31,3,2020
2020-04-01,IRCTC,1031.65,1031.65,1031.65,1031.65,0.0,0.0,0.0,0.0,0.0,0.0,1,4,2020
2020-04-03,IRCTC,1083.2,1083.2,1083.2,1083.2,0.0,0.0,0.0,0.0,0.0,0.0,3,4,2020
2020-04-07,IRCTC,1110.0,1137.35,1099.0,1137.35,2.464,-0.991,2.464,2.464,0.991,0.991,7,4,2020
2020-04-08,IRCTC,1194.2,1194.2,1194.2,1194.2,0.0,0.0,0.0,0.0,0.0,0.0,8,4,2020
2020-04-09,IRCTC,1253.9,1253.9,1253.9,1253.9,0.0,0.0,0.0,0.0,0.0,0.0,9,4,2020
2020-04-13,IRCTC,1259.0,1316.55,1200.1,1290.8,4.571,-4.678,2.526,4.678,4.571,4.571,13,4,2020
2020-04-15,IRCTC,1226.3,1288.8,1226.3,1230.55,5.097,0.0,0.347,5.097,0.0,0.0,15,4,2020
2020-04-16,IRCTC,1224.0,1292.05,1190.0,1292.05,5.56,-2.778,5.56,5.56,2.778,2.778,16,4,2020
2020-04-17,IRCTC,1356.65,1356.65,1308.65,1356.65,0.0,-3.538,0.0,3.538,0.0,0.0,17,4,2020
2020-04-20,IRCTC,1407.0,1424.45,1370.0,1424.45,1.24,-2.63,1.24,2.63,1.24,1.24,20,4,2020
2020-04-21,IRCTC,1410.0,1485.0,1380.0,1462.1,5.319,-2.128,3.695,5.319,2.128,2.128,21,4,2020
2020-04-22,IRCTC,1480.0,1509.0,1401.1,1434.45,1.959,-5.331,-3.078,5.331,1.959,1.959,22,4,2020
2020-04-23,IRCTC,1440.0,1448.95,1365.55,1371.35,0.622,-5.17,-4.767,5.17,0.622,0.622,23,4,2020
2020-04-24,IRCTC,1330.0,1347.75,1302.8,1302.8,1.335,-2.045,-2.045,2.045,1.335,1.335,24,4,2020
2020-04-27,IRCTC,1262.0,1329.9,1240.85,1267.65,5.38,-1.676,0.448,5.38,1.676,1.676,27,4,2020
2020-04-28,IRCTC,1280.0,1331.0,1235.0,1328.4,3.984,-3.516,3.781,3.984,3.516,3.516,28,4,2020
2020-04-29,IRCTC,1364.0,1364.0,1305.55,1319.0,0.0,-4.285,-3.299,4.285,0.0,0.0,29,4,2020
2020-04-30,IRCTC,1340.0,1344.95,1315.0,1324.35,0.369,-1.866,-1.168,1.866,0.369,0.369,30,4,2020
2020-05-04,IRCTC,1270.1,1304.0,1270.1,1282.35,2.669,0.0,0.964,2.669,0.0,0.0,4,5,2020
2020-05-05,IRCTC,1305.0,1309.8,1260.0,1262.0,0.368,-3.448,-3.295,3.448,0.368,0.368,5,5,2020
2020-05-06,IRCTC,1264.0,1268.9,1202.25,1216.2,0.388,-4.885,-3.782,4.885,0.388,0.388,6,5,2020
2020-05-07,IRCTC,1219.4,1248.95,1190.0,1214.55,2.423,-2.411,-0.398,2.423,2.411,2.411,7,5,2020
2020-05-08,IRCTC,1230.0,1275.25,1222.0,1241.5,3.679,-0.65,0.935,3.679,0.65,0.65,8,5,2020
2020-05-11,IRCTC,1303.55,1303.55,1303.55,1303.55,0.0,0.0,0.0,0.0,0.0,0.0,11,5,2020
2020-05-12,IRCTC,1368.7,1368.7,1368.7,1368.7,0.0,0.0,0.0,0.0,0.0,0.0,12,5,2020
2020-05-13,IRCTC,1437.1,1437.1,1376.0,1437.1,0.0,-4.252,0.0,4.252,0.0,0.0,13,5,2020
2020-05-14,IRCTC,1469.95,1475.0,1382.65,1389.2,0.344,-5.939,-5.493,5.939,0.344,0.344,14,5,2020
2020-05-15,IRCTC,1342.0,1377.4,1325.65,1330.1,2.638,-1.218,-0.887,2.638,1.218,1.218,15,5,2020
