Unnamed: 0.1,Unnamed: 0,symbol,month,year,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,stploss,trgt,profit,cumsum,cumprod
58,58,SUZLON,11,2018,6.25,6.5,4.95,5.15,4.0,-20.8,-17.6,20.8,4.0,4.0,0.01,26.3,-0.02,36.35800000000004,1.0113835842229315
59,59,SUZLON,12,2018,5.2,5.7,5.0,5.4,9.615,-3.846,3.846,9.615,3.846,3.846,0.01,26.3,-0.02,36.19400000000004,1.0097249151448062
60,60,SUZLON,1,2019,5.45,5.55,4.55,4.7,1.835,-16.514,-13.761,16.514,1.835,1.835,0.01,26.3,-0.02,45.94500000000004,1.1081831916205762
61,61,SUZLON,2,2019,4.8,6.1,2.75,5.75,27.083,-42.708,19.792,42.708,27.083,27.083,0.01,26.3,-0.02,37.92500000000004,1.019306899652606
62,62,SUZLON,3,2019,5.8,8.4,5.75,6.15,44.828,-0.862,6.034,44.828,0.862,0.862,0.01,26.3,-0.02,63.81500000000004,1.2832054559726658
63,63,SUZLON,4,2019,6.25,7.95,6.0,6.85,27.2,-4.0,9.6,27.2,4.0,4.0,0.01,26.3,-0.02,69.40500000000004,1.3549366409615378
64,64,SUZLON,5,2019,6.85,6.9,5.05,5.45,0.73,-26.277,-20.438,26.277,0.73,0.73,0.01,26.3,-0.02,85.83300000000004,1.5775256323386992
65,65,SUZLON,6,2019,5.45,6.25,3.0,5.25,14.679,-44.954,-3.67,44.954,14.679,14.679,0.01,26.3,-0.02,77.81300000000005,1.4510080766251354
66,66,SUZLON,7,2019,5.3,5.5,3.75,4.2,3.774,-29.245,-20.755,29.245,3.774,3.774,0.01,26.3,-0.02,94.55800000000004,1.6939793790560145
67,67,SUZLON,8,2019,4.15,4.6,3.6,3.7,10.843,-13.253,-10.843,13.253,10.843,10.843,0.01,26.3,-0.02,86.53800000000005,1.558122232855722
68,68,SUZLON,9,2019,3.75,3.75,2.2,2.25,0.0,-41.333,-40.0,41.333,0.0,0.0,0.01,26.3,26.29,112.42800000000004,1.9615200789420688
69,69,SUZLON,10,2019,2.25,2.9,2.05,2.65,28.889,-8.889,17.778,28.889,8.889,8.889,0.01,26.3,-0.02,104.40800000000006,1.8042061686109143
70,70,SUZLON,11,2019,2.7,3.15,2.2,2.3,16.667,-18.519,-14.815,18.519,16.667,16.667,0.01,26.3,-0.02,96.38800000000006,1.659508833888319
71,71,SUZLON,12,2019,2.3,2.45,1.8,1.85,6.522,-21.739,-19.565,21.739,6.522,6.522,0.01,26.3,-0.02,88.36800000000007,1.5264162254104758
72,72,SUZLON,1,2020,1.85,3.5,1.85,2.4,89.189,0.0,29.73,89.189,0.0,0.0,0.01,26.3,26.29,114.25800000000008,1.921605386169248
73,73,SUZLON,2,2020,2.4,3.0,2.15,2.7,25.0,-10.417,12.5,25.0,10.417,10.417,0.01,26.3,-0.02,106.23800000000008,1.7674926341984742
74,74,SUZLON,3,2020,2.95,2.95,1.7,1.95,0.0,-42.373,-33.898,42.373,0.0,0.0,0.01,26.3,26.29,132.12800000000007,2.2250964771924595
75,75,SUZLON,4,2020,2.0,3.15,2.0,2.6,57.5,0.0,30.0,57.5,0.0,0.0,0.01,26.3,26.29,158.0180000000001,2.801173955137588
76,76,SUZLON,5,2020,2.55,2.9,2.3,2.8,13.725,-9.804,9.804,13.725,9.804,9.804,0.01,26.3,-0.02,149.99800000000008,2.576519803935553
77,77,SUZLON,6,2020,2.85,5.05,2.85,5.05,77.193,0.0,77.193,77.193,0.0,0.0,0.01,26.3,26.29,175.8880000000001,3.243580781174468
78,78,SUZLON,7,2020,5.3,6.05,4.2,4.3,14.151,-20.755,-18.868,20.755,14.151,14.151,0.01,26.3,-0.02,167.86800000000008,2.9834456025242755
79,79,SUZLON,8,2020,4.3,4.65,3.7,3.75,8.14,-13.953,-12.791,13.953,8.14,8.14,0.01,26.3,-0.02,159.84800000000007,2.7441732652018285
80,80,SUZLON,9,2020,3.75,3.85,2.85,2.9,2.667,-24.0,-22.667,24.0,2.667,2.667,0.01,26.3,-0.02,178.50500000000008,3.256153671290534
81,81,SUZLON,10,2020,2.95,4.1,2.7,3.65,38.983,-8.475,23.729,38.983,8.475,8.475,0.01,26.3,-0.02,170.48500000000007,2.995010146853033
82,82,SUZLON,11,2020,3.5,3.8,2.9,3.45,8.571,-17.143,-1.429,17.143,8.571,8.571,0.01,26.3,-0.02,162.46500000000006,2.75481033307542
83,83,SUZLON,12,2020,3.5,6.4,3.4,6.4,82.857,-2.857,82.857,82.857,2.857,2.857,0.01,26.3,-0.02,188.35500000000008,3.468030728308646
84,84,SUZLON,1,2021,6.7,8.45,5.75,6.3,26.119,-14.179,-5.97,26.119,14.179,14.179,0.01,26.3,-0.02,180.3350000000001,3.189894663898293
85,85,SUZLON,2,2021,6.6,7.05,4.9,5.8,6.818,-25.758,-12.121,25.758,6.818,6.818,0.01,26.3,-0.02,172.31500000000003,2.9340651118536494
86,86,SUZLON,3,2021,5.95,6.05,5.0,5.0,1.681,-15.966,-15.966,15.966,1.681,1.681,0.01,26.3,-0.02,184.27100000000004,3.2848619366268714
87,87,SUZLON,4,2021,5.0,5.25,4.4,4.8,5.0,-12.0,-4.0,12.0,5.0,5.0,0.01,26.3,-0.02,176.25100000000003,3.021416009309396
88,88,SUZLON,5,2021,4.75,6.35,4.7,5.7,33.684,-1.053,20.0,33.684,1.053,1.053,0.01,26.3,-0.02,202.141,3.8036606141196
89,89,SUZLON,6,2021,5.75,8.5,5.65,8.0,47.826,-1.739,39.13,47.826,1.739,1.739,0.01,26.3,-0.02,228.031,4.788428347115164
90,90,SUZLON,7,2021,8.4,9.45,6.05,6.3,12.5,-27.976,-25.0,27.976,12.5,12.5,0.01,26.3,-0.02,220.011,4.404396393676527
91,91,SUZLON,8,2021,6.3,7.2,5.7,6.05,14.286,-9.524,-3.968,14.286,9.524,9.524,0.01,26.3,-0.02,211.991,4.05116380290367
92,92,SUZLON,9,2021,6.1,6.75,5.95,6.45,10.656,-2.459,5.738,10.656,2.459,2.459,0.01,26.3,-0.02,213.719,4.121167913417845
93,93,SUZLON,10,2021,6.4,7.95,6.3,6.75,24.219,-1.563,5.469,24.219,1.563,1.563,0.01,26.3,-0.02,215.178,4.181295753274612
94,94,SUZLON,11,2021,6.9,7.4,6.55,6.85,7.246,-5.072,-0.725,7.246,5.072,5.072,0.01,26.3,-0.02,207.158,3.845955833861988
