Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
2023-11-17,ADANIENT,2205.9,2237.95,2201.0,2208.8,1.453,-0.222,0.131,1.453,0.222,0.222,17,11,2023,0.62,3.6,-0.489,0.8470000000000003,1.0076435680553113
2023-11-20,ADANIENT,2211.0,2218.5,2142.0,2149.85,0.339,-3.121,-2.766,3.121,0.339,0.339,20,11,2023,0.62,3.6,2.146,2.9930000000000003,1.0292675990257782
2023-11-21,ADANIENT,2160.0,2232.55,2158.35,2196.65,3.359,-0.076,1.697,3.359,0.076,0.076,21,11,2023,0.62,3.6,1.077,4.07,1.0403528110672857
2023-11-22,ADANIENT,2205.15,2225.0,2153.5,2172.65,0.9,-2.342,-1.474,2.342,0.9,0.9,22,11,2023,0.62,3.6,-1.24,2.83,1.0274524362100514
2023-11-23,ADANIENT,2190.0,2190.0,2160.6,2175.25,0.0,-1.342,-0.674,1.342,0.0,0.0,23,11,2023,0.62,3.6,0.05400000000000005,2.8840000000000003,1.0280072605256048
2023-11-24,ADANIENT,2179.0,2251.95,2160.9,2225.45,3.348,-0.831,2.132,3.348,0.831,0.831,24,11,2023,0.62,3.6,-1.24,1.6440000000000003,1.0152599704950873
2023-11-28,ADANIENT,2301.0,2512.4,2275.0,2423.5,9.187,-1.13,5.324,9.187,1.13,1.13,28,11,2023,0.62,3.6,-1.24,0.40400000000000036,1.0026707468609484
2023-11-29,ADANIENT,2468.7,2477.65,2390.0,2396.6,0.363,-3.188,-2.921,3.188,0.363,0.363,29,11,2023,0.62,3.6,2.3009999999999997,2.705,1.0257422007462187
2023-11-30,ADANIENT,2400.05,2409.0,2343.05,2358.55,0.373,-2.375,-1.729,2.375,0.373,0.373,30,11,2023,0.62,3.6,1.109,3.814,1.0371176817524943
2023-12-01,ADANIENT,2370.0,2403.35,2354.1,2362.7,1.407,-0.671,-0.308,1.407,0.671,0.671,1,12,2023,1.1300000000000001,9.1,-0.8220000000000001,-0.8220000000000001,0.99178
