,Date,Symbol,OpenPrice,HighPrice,LowPrice,ClosePrice,High%,Low%,Close%,target_wrt_h&l%,stoploss_wrt_h&l%,profit_decider,Day,Month,Year,stploss,trgt,profit,cumsum,cumprod
651,2023-01-19,NTPC,1184.0,1184.0,1184.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,19,1,2023,0.01,29.9,-0.01,414.6060000000029,52.17952253072906
652,2023-01-19,NTPC,1320.0,1320.0,1315.0,1317.62,0.0,-0.379,-0.18,0.379,0.0,0.0,19,1,2023,0.01,29.9,0.1699999999999999,414.7760000000029,52.2682277190313
653,2023-01-19,NTPC,13.57,13.64,13.52,13.56,0.516,-0.368,-0.074,0.516,0.368,0.368,19,1,2023,0.01,29.9,-0.02,414.7560000000029,52.2577740734875
654,2023-01-19,NTPC,1215.8,1215.8,1215.8,1215.8,0.0,0.0,0.0,0.0,0.0,0.0,19,1,2023,0.01,29.9,-0.01,414.74600000000294,52.25254829608015
655,2023-01-20,NTPC,169.9,169.9,167.65,168.7,0.0,-1.324,-0.706,1.324,0.0,0.0,20,1,2023,0.01,29.9,0.696,415.44200000000296,52.61622603222087
656,2023-01-20,NTPC,1329.0,1329.0,1320.0,1320.0,0.0,-0.677,-0.677,0.677,0.0,0.0,20,1,2023,0.01,29.9,0.667,416.10900000000294,52.96717625985578
657,2023-01-20,NTPC,13.5,13.64,13.5,13.56,1.037,0.0,0.444,1.037,0.0,0.0,20,1,2023,0.01,29.9,0.434,416.54300000000296,53.19705380482356
658,2023-01-20,NTPC,1500.0,1500.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,2023,0.01,29.9,-0.01,416.53300000000297,53.19173409944308
659,2023-01-20,NTPC,1065.0,1065.0,1065.0,1065.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,2023,0.01,29.9,-0.01,416.523000000003,53.18641492603314
660,2023-01-20,NTPC,1228.79,1229.0,1228.79,1228.98,0.017,0.0,0.015,0.017,0.0,0.0,20,1,2023,0.01,29.9,0.0049999999999999,416.528000000003,53.18907424677945
661,2023-01-23,NTPC,169.4,169.5,166.0,166.85,0.059,-2.007,-1.505,2.007,0.059,0.059,23,1,2023,0.01,29.9,-0.02,416.508000000003,53.178436431930095
662,2023-01-23,NTPC,1033.0,1039.0,1033.0,1033.5,0.581,0.0,0.048,0.581,0.0,0.0,23,1,2023,0.01,29.9,0.038,416.546000000003,53.19864423777423
663,2023-01-23,NTPC,1189.0,1189.0,1160.0,1160.0,0.0,-2.439,-2.439,2.439,0.0,0.0,23,1,2023,0.01,29.9,2.4290000000000003,418.975000000003,54.490839306309766
664,2023-01-23,NTPC,13.56,13.59,13.54,13.57,0.221,-0.147,0.074,0.221,0.147,0.147,23,1,2023,0.01,29.9,-0.02,418.955000000003,54.4799411384485
665,2023-01-23,NTPC,1057.03,1057.03,1057.01,1057.01,0.0,-0.002,-0.002,0.002,0.0,0.0,23,1,2023,0.01,29.9,-0.008,418.947000000003,54.47558274315743
666,2023-01-23,NTPC,1151.0,1151.0,1151.0,1151.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,2023,0.01,29.9,-0.01,418.937000000003,54.47013518488312
667,2023-01-23,NTPC,1239.99,1239.99,1239.99,1239.99,0.0,0.0,0.0,0.0,0.0,0.0,23,1,2023,0.01,29.9,-0.01,418.92700000000303,54.464688171364635
668,2023-01-24,NTPC,167.2,167.55,165.4,166.05,0.209,-1.077,-0.688,1.077,0.209,0.209,24,1,2023,0.01,29.9,-0.02,418.90700000000305,54.45379523373036
669,2023-01-24,NTPC,1033.5,1033.99,1033.5,1033.99,0.047,0.0,0.047,0.047,0.0,0.0,24,1,2023,0.01,29.9,0.037,418.94400000000303,54.47394313796684
670,2023-01-24,NTPC,1160.0,1181.0,1160.0,1180.0,1.81,0.0,1.724,1.81,0.0,0.0,24,1,2023,0.01,29.9,1.714,420.658000000003,55.40762652335159
671,2023-01-24,NTPC,1328.0,1333.5,1319.0,1328.89,0.414,-0.678,0.067,0.678,0.414,0.414,24,1,2023,0.01,29.9,-0.02,420.63800000000305,55.39654499804692
672,2023-01-24,NTPC,13.57,13.61,13.56,13.57,0.295,-0.074,0.0,0.295,0.074,0.074,24,1,2023,0.01,29.9,-0.02,420.61800000000306,55.385465689047315
673,2023-01-24,NTPC,1057.5,1060.0,1057.5,1060.0,0.236,0.0,0.236,0.236,0.0,0.0,24,1,2023,0.01,29.9,0.2259999999999999,420.84400000000306,55.51063684150456
674,2023-01-24,NTPC,1225.3,1239.8,1225.3,1235.96,1.183,0.0,0.87,1.183,0.0,0.0,24,1,2023,0.01,29.9,0.86,421.7040000000031,55.98802831834149
675,2023-01-25,NTPC,166.0,166.6,164.4,165.9,0.361,-0.964,-0.06,0.964,0.361,0.361,25,1,2023,0.01,29.9,-0.02,421.6840000000031,55.976830712677824
676,2023-01-25,NTPC,1034.2,1034.2,1034.2,1034.2,0.0,0.0,0.0,0.0,0.0,0.0,25,1,2023,0.01,29.9,-0.01,421.6740000000031,55.97123302960656
677,2023-01-25,NTPC,13.58,13.64,13.58,13.58,0.442,0.0,0.0,0.442,0.0,0.0,25,1,2023,0.01,29.9,-0.01,421.6640000000031,55.965635906303596
678,2023-01-27,NTPC,166.25,167.05,164.0,166.3,0.481,-1.353,0.03,1.353,0.481,0.481,27,1,2023,0.01,29.9,-0.02,421.64400000000313,55.95444277912234
